Order Date,Customer ID,Region,Channel,Units Sold,Revenue,Discount %,Profit
2025-04-17,1017,East,Online,18,1280.01,19.4,$212
2025-04-18,1089,East,Online,22,1266.27,11.9,$318
2025-04-19,1082,East,Partner,25,1341.66,21.6,$267
2025-04-20,1050,North,Retail,27,1537.42,11.2,$380
2025-04-21,1086,North,Partner,24,1305.52,7.0,$343
2025-04-22,1039,North,Online,21,1380.71,12.6,$314
2025-04-23,1042,North,Partner,18,1313.16,11.7,$268
2025-04-24,1001,North,Partner,19,1408.8,24.2,$290
2025-04-25,1088,West,Retail,27,1276.08,23.3,$207
2025-04-26,1016,West,Online,23,1661.92,0.9,$424
2025-04-27,1072,North,Retail,16,1357.15,13.3,$295
2025-04-28,1066,North,Partner,27,1510.6,8.0,$322
2025-04-29,1020,West,Online,32,1442.58,18.3,$274
2025-04-30,1024,East,Partner,23,1333.86,16.7,$222
2025-05-01,1007,South,Online,23,1442.85,17.4,$348
2025-05-02,1082,South,Partner,20,1430.71,12.2,$232
2025-05-03,1042,North,Partner,21,1557.58,11.0,$250
2025-05-04,1046,East,Retail,25,1638.68,4.5,$408
2025-05-05,1022,East,Retail,22,1420.64,5.3,$250
2025-05-06,1015,South,Retail,21,1567.4,5.7,$260
2025-05-07,1085,West,Retail,27,1485.44,5.3,$296
2025-05-08,1004,North,Retail,16,1721.74,8.6,$382
2025-05-09,1079,East,Retail,29,1595.53,21.1,$379
2025-05-10,1034,West,Retail,21,1590.76,4.4,$352
2025-05-11,1022,North,Partner,28,1598.2,8.5,$353
2025-05-12,1010,South,Partner,24,1741.56,14.0,$361
2025-05-13,1057,East,Online,22,1609.62,3.0,$415
2025-05-14,1016,South,Partner,19,1628.17,20.8,$328
2025-05-15,1048,West,Online,26,1473.69,6.7,$234
2025-05-16,1045,South,Partner,20,1408.47,3.6,$303
2025-05-17,1059,South,Online,23,1580.18,13.6,$287
2025-05-18,1088,West,Online,29,1439.98,5.6,$228
2025-05-19,1078,North,Online,29,1594.18,6.0,$269
2025-05-20,1019,West,Retail,26,1551.1,2.0,$298
2025-05-21,1002,North,Online,24,1537.96,6.8,$420
2025-05-22,1088,South,Retail,20,1510.18,17.1,$336
2025-05-23,1005,South,Online,15,1382.48,11.4,$357
2025-05-24,1088,South,Online,18,1463.65,11.1,$375
2025-05-25,1071,North,Retail,19,1466.13,20.1,$297
2025-05-26,1010,South,Partner,18,1431.39,13.2,$303
2025-05-27,1007,South,Partner,26,1458.23,17.2,$352
2025-05-28,1016,West,Retail,32,1386.26,7.9,$230
2025-05-29,1077,West,Online,22,1324.0,8.7,$268
2025-05-30,1031,East,Partner,25,1402.14,8.2,$314
2025-05-31,1058,West,Retail,19,1288.8,6.9,$231
2025-06-01,1037,West,Partner,30,1274.84,2.7,$201
2025-06-02,1023,South,Retail,25,1319.99,8.2,$207
2025-06-03,1060,North,Online,21,1355.16,7.8,$357
2025-06-04,1062,East,Partner,19,1480.97,16.0,$272
2025-06-05,1034,South,Partner,24,1548.7,5.0,$267
2025-06-06,1047,North,Online,26,1487.0,19.0,$379
2025-06-07,1083,West,Retail,21,1503.83,0.8,$306
2025-06-08,1025,West,Partner,21,1475.41,12.5,$287
2025-06-09,1078,South,Retail,17,1388.73,21.3,$226
2025-06-10,1029,East,Online,16,1437.16,3.4,$262
2025-06-11,1010,East,Partner,16,1390.66,7.6,$298
2025-06-12,1038,West,Online,15,1506.7,18.7,$414
2025-06-13,1032,South,Retail,23,1690.69,2.8,$275
2025-06-14,1070,East,Partner,17,1683.39,24.0,$464
2025-06-15,1031,North,Online,12,1635.49,16.2,$455
2025-06-16,1002,North,Retail,24,1502.92,6.4,$280
2025-06-17,1079,South,Partner,18,1623.12,20.7,$380
2025-06-18,1044,North,Partner,23,1670.86,18.3,$416
2025-06-19,1069,North,Online,23,1605.74,12.6,$326
2025-06-20,1083,South,Partner,20,1748.69,3.2,$371
2025-06-21,1047,East,Partner,23,1522.68,1.7,$292
2025-06-22,1067,North,Retail,28,1704.58,1.8,$400
2025-06-23,1033,West,Partner,25,1755.17,4.3,$374
